Participant ID,Proficiency,VRExperience,Condition,Order,ErrorRate,ExcessHitRate,CognitiveLoad,Difficulty,MIDIFile,MeanAsynchrony,MeanRelativeAsynchrony,MeanIOIError,BPM,Component
7,4,1,A,3,10.0,0.0,-1.71875,3,60BPM Kick & Hat.mid,19.304435483870893,-2.4895833333333233,6.149193548387067,60,0.0
7,4,1,B,1,0.0,0.0,-3.71875,1,60BPM Hat.mid,18.489583333333478,3.548387096774239,1.7741935483870774,60,-2.0
7,4,1,B,1,0.0,0.0,-3.71875,2,60BPM Snare & Hat.mid,39.97395833333324,-3.1451612903225588,3.3333333333333397,60,-1.0
7,4,1,B,1,0.0,0.0,-3.71875,3,60BPM Kick & Hat.mid,35.15625000000002,2.8494623655914224,3.198924731182795,60,0.0
7,4,1,B,1,4.166666666666657,2.083333333333333,-3.71875,4,60BPM Combined.mid,54.947916666666266,-7.580645161290313,3.97849462365591,60,1.0
7,4,1,B,1,1.0416666666666572,0.0,-3.71875,5,120BPM Combined.mid,61.17724867724889,23.14516129032267,3.715846994535479,120,2.0
7,4,1,C,4,0.0,0.0,-2.71875,1,60BPM Hat.mid,51.302083333333314,10.32258064516129,2.84946236559138,60,-2.0
7,4,1,C,4,0.0,0.0,-2.71875,2,60BPM Snare & Hat.mid,59.635416666666615,11.774193548387093,2.0430107526881813,60,-1.0
7,4,1,C,4,27.5,12.5,-2.71875,3,60BPM Kick & Hat.mid,50.57471264367807,9.791666666666657,12.701149425287362,60,0.0
7,4,1,C,4,8.333333333333343,0.0,-2.71875,4,60BPM Combined.mid,38.1510416666665,6.908602150537647,6.451612903225794,60,1.0
7,4,1,C,4,2.083333333333343,0.0,-2.71875,5,120BPM Combined.mid,110.01344086021507,42.950819672131146,6.4480874316940096,120,2.0
7,4,1,D,2,0.0,3.125,-2.71875,1,60BPM Hat.mid,41.92708333333338,8.38709677419355,5.483870967741992,60,-2.0
7,4,1,D,2,0.0,0.0,-2.71875,2,60BPM Snare & Hat.mid,34.76562500000007,6.908602150537657,3.1182795698925196,60,-1.0
7,4,1,D,2,0.0,2.5,-2.71875,3,60BPM Kick & Hat.mid,70.83333333333354,14.301075268817248,5.107526881720461,60,0.0
7,4,1,D,2,2.083333333333343,0.0,-2.71875,4,60BPM Combined.mid,62.76041666666667,12.419354838709683,5.860215053763425,60,1.0
